product_id,ds,y
6649352486966.0,2023-03-01,54
6649352486966.0,2023-04-01,59
6649352486966.0,2023-05-01,91
6649352486966.0,2023-06-01,163
6649352486966.0,2023-07-01,76
6649352486966.0,2023-08-01,202
6649352486966.0,2023-09-01,129
6649352486966.0,2023-10-01,166
6649352486966.0,2023-11-01,131
6649352486966.0,2023-12-01,136
6649352486966.0,2024-01-01,127
6649352486966.0,2024-02-01,111
6649353699382.0,2023-03-01,66
6649353699382.0,2023-04-01,84
6649353699382.0,2023-05-01,70
6649353699382.0,2023-06-01,62
6649353699382.0,2023-07-01,232
6649353699382.0,2023-08-01,170
6649353699382.0,2023-09-01,201
6649353699382.0,2023-10-01,222
6649353699382.0,2023-11-01,175
6649353699382.0,2023-12-01,133
6649353699382.0,2024-01-01,175
6649353699382.0,2024-02-01,125
6852358799414.0,2023-03-01,119
6852358799414.0,2023-04-01,87
6852358799414.0,2023-05-01,109
6852358799414.0,2023-06-01,241
6852358799414.0,2023-07-01,304
6852358799414.0,2023-08-01,227
6852358799414.0,2023-09-01,186
6852358799414.0,2023-10-01,210
6852358799414.0,2023-11-01,228
6852358799414.0,2023-12-01,232
6852358799414.0,2024-01-01,223
6852358799414.0,2024-02-01,187
6852365713462.0,2023-03-01,43
6852365713462.0,2023-04-01,25
6852365713462.0,2023-05-01,54
6852365713462.0,2023-06-01,153
6852365713462.0,2023-07-01,190
6852365713462.0,2023-08-01,146
6852365713462.0,2023-09-01,162
6852365713462.0,2023-10-01,111
6852365713462.0,2023-11-01,117
6852365713462.0,2023-12-01,116
6852365713462.0,2024-01-01,144
6852365713462.0,2024-02-01,126
6852398055478.0,2023-03-01,64
6852398055478.0,2023-04-01,71
6852398055478.0,2023-05-01,89
6852398055478.0,2023-06-01,185
6852398055478.0,2023-07-01,220
6852398055478.0,2023-08-01,182
6852398055478.0,2023-09-01,201
6852398055478.0,2023-10-01,204
6852398055478.0,2023-11-01,203
6852398055478.0,2023-12-01,229
6852398055478.0,2024-01-01,154
6852398055478.0,2024-02-01,152
6852400906294.0,2023-03-01,16
6852400906294.0,2023-04-01,7
6852400906294.0,2023-05-01,7
6852400906294.0,2023-06-01,19
6852400906294.0,2023-07-01,13
6852400906294.0,2023-08-01,13
6852400906294.0,2023-09-01,14
6852400906294.0,2023-10-01,6
6852400906294.0,2023-11-01,18
6852400906294.0,2023-12-01,9
6852400906294.0,2024-01-01,2
6852400906294.0,2024-02-01,2
6936855019574.0,2023-04-01,30
6936855019574.0,2023-05-01,57
6936855019574.0,2023-06-01,80
6936855019574.0,2023-07-01,81
6936855019574.0,2023-08-01,76
6936855019574.0,2023-09-01,65
6936855019574.0,2023-10-01,67
6936855019574.0,2023-11-01,65
6936855019574.0,2023-12-01,71
6936855019574.0,2024-01-01,84
6936855019574.0,2024-02-01,60
6936856461366.0,2023-04-01,20
6936856461366.0,2023-05-01,23
6936856461366.0,2023-06-01,58
6936856461366.0,2023-07-01,43
6936856461366.0,2023-08-01,48
6936856461366.0,2023-09-01,103
6936856461366.0,2023-10-01,44
6936856461366.0,2023-11-01,85
6936856461366.0,2023-12-01,93
6936856461366.0,2024-01-01,67
6936856461366.0,2024-02-01,75
7260842885174.0,2024-02-01,54
